Borough,Method_of_Killing,Sex,Domestic_Abuse,Solved_Status
Southwark,Shooting,Male,Not Domestic Abuse,Solved
Southwark,Shooting,Male,Not Domestic Abuse,Unsolved
Southwark,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,"Physical Assault, no weapon",Male,Not Domestic Abuse,Solved
Southwark,Shooting,Male,Not Domestic Abuse,Unsolved
Lewisham,Blunt Implement,Male,Not Domestic Abuse,Solved
Lewisham,Shooting,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Blunt Implement,Female,Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Bromley,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,Blunt Implement,Female,Not Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Bexley,Shooting,Female,Not Domestic Abuse,Solved
Tower Hamlets,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Female,Not Domestic Abuse,Unsolved
Tower Hamlets,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Tower Hamlets,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Tower Hamlets,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Redbridge,Shooting,Male,Not Domestic Abuse,Unsolved
Redbridge,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Hackney,Shooting,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Hackney,Shooting,Male,Not Domestic Abuse,Solved
Hackney,Blunt Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,Shooting,Male,Not Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Waltham Forest,Shooting,Male,Not Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Barking and Dagenham,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Barking and Dagenham,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Barking and Dagenham,Blunt Implement,Male,Not Domestic Abuse,Solved
Redbridge,Blunt Implement,Female,Not Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Blunt Implement,Male,Not Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Enfield,Blunt Implement,Male,Domestic Abuse,Solved
Newham,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Newham,Shooting,Male,Not Domestic Abuse,Solved
Newham,Shooting,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Havering,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Havering,"Physical Assault, no weapon",Male,Not Domestic Abuse,Solved
Westminster,Blunt Implement,Female,Not Domestic Abuse,Solved
Westminster,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Westminster,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Hammersmith and Fulham,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Hammersmith and Fulham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hammersmith and Fulham,Shooting,Male,Not Domestic Abuse,Unsolved
Westminster,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Westminster,Shooting,Male,Not Domestic Abuse,Unsolved
Westminster,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Blunt Implement,Male,Not Domestic Abuse,Unsolved
Wandsworth,Blunt Implement,Male,Not Domestic Abuse,Solved
Wandsworth,Shooting,Male,Not Domestic Abuse,Solved
Hounslow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hounslow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Richmond upon Thames,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Richmond upon Thames,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Richmond upon Thames,Blunt Implement,Female,Not Domestic Abuse,Solved
Richmond upon Thames,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hillingdon,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Lambeth,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lambeth,Shooting,Male,Not Domestic Abuse,Solved
Lambeth,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lambeth,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lambeth,Shooting,Male,Not Domestic Abuse,Solved
Lambeth,Shooting,Male,Not Domestic Abuse,Solved
Lambeth,Shooting,Male,Not Domestic Abuse,Solved
Lambeth,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Unsolved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Unsolved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Ealing,Shooting,Male,Not Domestic Abuse,Unsolved
Ealing,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Islington,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Islington,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Islington,Blunt Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Haringey,Shooting,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Blunt Implement,Female,Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Southwark,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Southwark,Shooting,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Southwark,Shooting,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Bromley,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Bromley,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Bromley,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,"Physical Assault, no weapon",Male,Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,Blunt Implement,Male,Not Domestic Abuse,Solved
Croydon,Shooting,Male,Not Domestic Abuse,Solved
Croydon,Shooting,Male,Not Domestic Abuse,Solved
Croydon,Shooting,Male,Not Domestic Abuse,Unsolved
Bexley,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Sutton,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Tower Hamlets,Blunt Implement,Female,Domestic Abuse,Solved
Tower Hamlets,Blunt Implement,Male,Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Tower Hamlets,Shooting,Male,Not Domestic Abuse,Solved
Tower Hamlets,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Redbridge,Blunt Implement,Male,Not Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Blunt Implement,Male,Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Barking and Dagenham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Barking and Dagenham,Shooting,Male,Not Domestic Abuse,Solved
Barking and Dagenham,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Enfield,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Enfield,Shooting,Male,Not Domestic Abuse,Unsolved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Enfield,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Blunt Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Blunt Implement,Male,Not Domestic Abuse,Solved
Newham,Shooting,Male,Not Domestic Abuse,Solved
Newham,Blunt Implement,Male,Not Domestic Abuse,Solved
Havering,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Havering,Blunt Implement,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Shooting,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Shooting,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Shooting,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Westminster,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Hammersmith and Fulham,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Hammersmith and Fulham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hammersmith and Fulham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hammersmith and Fulham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Westminster,Knife or Sharp Implement,Female,Not Domestic Abuse,Unsolved
Wandsworth,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Wandsworth,"Physical Assault, no weapon",Male,Not Domestic Abuse,Solved
Hounslow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hounslow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Richmond upon Thames,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hounslow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Richmond upon Thames,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Lambeth,Blunt Implement,Female,Domestic Abuse,Solved
Lambeth,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Lambeth,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Lambeth,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Merton,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Unsolved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Shooting,Female,Not Domestic Abuse,Solved
Brent,Shooting,Female,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Unsolved
Harrow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Camden,"Physical Assault, no weapon",Male,Not Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Camden,Blunt Implement,Female,Not Domestic Abuse,Solved
Barnet,Blunt Implement,Male,Not Domestic Abuse,Solved
Barnet,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Barnet,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Barnet,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Barnet,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Ealing,Shooting,Male,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Ealing,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Islington,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Islington,Blunt Implement,Male,Not Domestic Abuse,Unsolved
Islington,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Islington,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Haringey,Blunt Implement,Male,Not Domestic Abuse,Solved
Haringey,Blunt Implement,Male,Not Domestic Abuse,Solved
Haringey,Shooting,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Southwark,Blunt Implement,Male,Not Domestic Abuse,Unsolved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Southwark,Shooting,Female,Not Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Lewisham,Shooting,Male,Not Domestic Abuse,Solved
Lewisham,Shooting,Male,Not Domestic Abuse,Solved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Lewisham,Shooting,Male,Not Domestic Abuse,Unsolved
Lewisham,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Lewisham,Shooting,Male,Not Domestic Abuse,Unsolved
Lewisham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,Blunt Implement,Male,Not Domestic Abuse,Solved
Greenwich,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Greenwich,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,Blunt Implement,Male,Not Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Croydon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Croydon,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Bexley,Shooting,Male,Not Domestic Abuse,Unsolved
Bexley,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Redbridge,"Physical Assault, no weapon",Male,Not Domestic Abuse,Solved
Redbridge,Blunt Implement,Female,Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Redbridge,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Redbridge,Shooting,Male,Not Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Redbridge,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Hackney,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Female,Not Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Waltham Forest,Shooting,Male,Not Domestic Abuse,Solved
Waltham Forest,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Barking and Dagenham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Barking and Dagenham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Barking and Dagenham,Shooting,Male,Not Domestic Abuse,Solved
Barking and Dagenham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Enfield,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Enfield,Shooting,Male,Not Domestic Abuse,Unsolved
Enfield,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Enfield,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Blunt Implement,Female,Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Newham,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Havering,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,Shooting,Male,Not Domestic Abuse,Unsolved
Kensington and Chelsea,Blunt Implement,Male,Not Domestic Abuse,Solved
Kensington and Chelsea,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Kensington and Chelsea,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Kensington and Chelsea,Shooting,Female,Domestic Abuse,Solved
Westminster,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Westminster,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hammersmith and Fulham,Knife or Sharp Implement,Female,Domestic Abuse,Solved
